state,income_bracket,distress_pct
Alabama,<$25k,29.74
Alabama,$25k-$50k,19.44
Alabama,$50k-$75k,14.0
Alabama,$75k-$100k,14.0
Alabama,$100k-$150k,8.1
Alaska,<$25k,24.91
Alaska,$25k-$50k,20.23
Alaska,$50k-$75k,12.6
Alaska,$75k-$100k,12.6
Alaska,$100k-$150k,9.8
Arizona,<$25k,24.68
Arizona,$25k-$50k,18.7
Arizona,$50k-$75k,16.9
Arizona,$75k-$100k,16.9
Arizona,$100k-$150k,10.8
Arizona,$150k+,7.4
Arkansas,<$25k,33.95
Arkansas,$25k-$50k,20.09
Arkansas,$50k-$75k,19.6
Arkansas,$75k-$100k,19.6
Arkansas,$100k-$150k,10.3
California,<$25k,21.31
California,$25k-$50k,16.28
California,$50k-$75k,15.3
California,$75k-$100k,15.3
California,$100k-$150k,10.4
California,$150k+,7.5
Colorado,<$25k,29.97
Colorado,$25k-$50k,19.46
Colorado,$50k-$75k,12.9
Colorado,$75k-$100k,12.9
Colorado,$100k-$150k,11.2
Colorado,$150k+,8.1
Connecticut,<$25k,24.02
Connecticut,$25k-$50k,15.4
Connecticut,$50k-$75k,15.0
Connecticut,$75k-$100k,15.0
Connecticut,$100k-$150k,9.7
Connecticut,$150k+,7.7
Delaware,<$25k,25.14
Delaware,$25k-$50k,17.03
Delaware,$50k-$75k,11.6
Delaware,$75k-$100k,11.6
Delaware,$100k-$150k,11.2
Florida,<$25k,25.64
Florida,$25k-$50k,18.3
Florida,$50k-$75k,13.3
Florida,$75k-$100k,13.3
Florida,$100k-$150k,9.6
Georgia,<$25k,29.08
Georgia,$25k-$50k,17.23
Georgia,$50k-$75k,15.3
Georgia,$75k-$100k,15.3
Georgia,$100k-$150k,9.6
Georgia,$150k+,5.9
Hawaii,<$25k,19.49
Hawaii,$25k-$50k,12.44
Hawaii,$50k-$75k,10.2
Hawaii,$75k-$100k,10.2
Hawaii,$100k-$150k,7.8
Hawaii,$150k+,10.4
Idaho,<$25k,25.35
Idaho,$25k-$50k,19.27
Idaho,$50k-$75k,11.4
Idaho,$75k-$100k,11.4
Idaho,$100k-$150k,10.0
Illinois,<$25k,24.59
Illinois,$25k-$50k,15.86
Illinois,$50k-$75k,10.7
